"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs"
"36","36",8,17,267,279,249,1531,531,0,138,1244,0,122,2,123,62,1175,357,160,197,266,257,"GNB_Cacheu","Natural","Savanna","Sudanian","Guinea-Bissau",12.26,-16.1,20,15,15,1,1,1
"37","37",10,13,268,279,255,2405,756,0,127,1804,0,267,6,98,65,949,341,191,150,263,261,"GNB_Cantanhez","Natural","Savanna","Sudanian","Guinea-Bissau",11.24,-14.95,20,15,15,1,1,1
"38","38",1122,308,236,244,228,744,103,26,39,245,102,189,233,163,87,614,332,146,186,243,237,"KEN_Bogoria","Agricultural","Savanna","Zambezian","Kenya",0.25,36.1,1050,232,11,1,1,0
"39","39",1592,50,200,208,190,1898,261,59,39,696,233,294,586,166,87,693,297,108,189,198,205,"KEN_Kakamega","Natural","Rainforest","Zambezian","Kenya",0.35,34.88,1550,4983,26,2,1,0
"40","40",716,111,240,256,219,604,168,1,108,323,7,221,7,123,73,1399,328,160,168,245,219,"KEN_Masalani","Natural","Savanna","Somalian","Kenya",-2.3,38.1167,700,395,24,2,2,0
"41","41",597,115,244,255,229,524,163,0,121,282,1,196,2,155,82,978,338,151,187,246,232,"KEN_Meru","Natural","Savanna","Somalian","Kenya",0.14,38.18,600,452,14,2,1,0
"42","42",64,79,256,270,239,1003,226,13,67,492,74,202,265,81,68,1227,320,201,119,256,268,"KEN_Sokoke1","Natural","Coastal Forest","Somalian","Kenya",-3.271,39.937,50,890,19,2,2,0
"43","43",19,45,260,274,243,1084,283,10,81,595,57,214,309,78,67,1222,322,206,116,260,271,"KEN_Sokoke2","Agricultural","Coastal Forest","Somalian","Kenya",-3.321,40.022,30,4327,23,2,2,0
"44","44",473,171,242,251,232,2108,384,17,66,1002,106,410,894,142,72,768,341,144,197,233,241,"LBR_Nimba1","Natural","Forest-savanna","Congolian","Liberia",7.5042,-8.5895,500,71,30,1,3,0
"45","45",658,480,233,244,222,2078,375,18,65,980,109,323,868,137,70,887,332,138,194,222,233,"LBR_Nimba2","Natural","Forest-savanna","Congolian","Liberia",7.5404,-8.5005,800,22,13,1,3,0
"46","46",658,480,233,244,222,2078,375,18,65,980,109,323,868,137,70,887,332,138,194,222,233,"LBR_Nimba3","Natural","Montane","Congolian","Liberia",7.5166,-8.522,1100,14,11,1,3,0
"47","47",838,362,228,235,218,2613,449,22,62,1196,138,525,1034,143,72,879,327,129,198,220,226,"LBR_Wologizi","Natural","Forest-savanna","Congolian","Liberia",8.149,-9.879,550,87,19,1,1,0
"48","48",429,89,265,304,224,522,174,0,132,407,0,91,0,139,54,2962,386,132,254,265,224,"MLI_Bandiagara","Mixed","Savanna","Sudanian","Mali",14.333,-3.6,400,4,4,1,2,1
"49","49",293,22,275,308,244,781,240,0,121,564,1,68,3,142,56,2538,388,138,250,267,244,"MLI_Bla","Mixed","Savanna","Sudanian","Mali",12.93,-5.75,300,5,5,1,2,1
"50","50",360,129,276,313,253,958,283,0,122,696,1,53,7,134,59,2442,391,166,225,258,278,"MLI_Kita","Mixed","Savanna","Sudanian","Mali",13.033,-9.483,350,5,5,1,2,1
"51","51",254,129,243,267,206,1146,255,17,87,658,65,540,81,126,63,2487,337,139,198,266,217,"MOZ_Codzo","Natural","Savanna","Zambezian","Mozambique",-18.564,34.8722,240,69,26,1,1,0
"52","52",1356,634,189,206,163,2001,351,29,76,1035,124,535,162,110,66,1741,277,111,166,202,187,"MOZ_Mabu","Natural","Montane","Zambezian","Mozambique",-16.28,36.38,1300,10,10,2,3,1
"53","53",480,81,239,266,203,982,229,4,107,647,15,297,16,110,56,2458,332,138,194,255,217,"MWI_Liwonde","Natural","Savanna","Zambezian","Malawi",-15.033,35.25,500,128,19,2,1,0
"54","54",920,1342,207,229,172,1819,320,23,75,928,107,494,143,110,60,2314,294,111,183,224,184,"MWI_Mulanje1","Natural","Savanna","Zambezian","Malawi",-16.0278,35.5221,720,219,21,1,2,0
"55","55",1950,1223,158,175,131,1800,339,21,83,968,88,517,112,93,61,1740,236,85,151,172,141,"MWI_Mulanje2","Natural","Montane","Zambezian","Malawi",-15.9488,35.6515,1220,385,16,1,2,0
"56","56",1703,1609,171,188,143,1765,330,20,82,944,86,504,111,96,61,1843,250,94,156,186,153,"MWI_Mulanje3","Natural","Montane","Zambezian","Malawi",-15.9248,35.6385,2000,33,6,1,2,0
"57","57",1531,711,182,202,153,1364,294,10,98,840,34,422,40,95,58,1962,261,99,162,196,163,"MWI_Zomba1","Natural","Savanna","Zambezian","Malawi",-15.383,35.317,900,832,21,2,1,0
"58","58",1544,707,182,202,153,1354,293,10,99,838,33,420,38,96,59,1943,261,99,162,196,163,"MWI_Zomba2","Natural","Montane","Zambezian","Malawi",-15.33,35.317,1600,39,8,1,1,0
"59","59",413,63,208,234,182,20,6,0,85,12,1,12,1,160,70,2075,319,92,227,233,182,"NAM_Gobabeb","Natural","Desert","Southern","Namibia",-23.5606,15.0404,400,8,8,1,1,1
"60","60",248,31,286,322,259,665,200,0,122,481,0,59,1,135,57,2511,400,167,233,273,260,"NER_W","Natural","Savanna","Sudanian","Niger",12.38,2.56,240,95,15,2,1,0
"61","61",6,5,266,276,255,2632,411,36,59,1116,149,412,1116,82,78,792,323,219,104,255,270,"NGA_Delta","Mixed","Rainforest","Congolian","Nigeria",4.7764,6.8991,10,143,11,2,3,0
"62","62",201,97,261,276,245,1662,303,8,70,709,46,242,709,92,73,1181,330,205,125,245,265,"NGA_Edo1","Agricultural","Rainforest","Congolian","Nigeria",6.559,6.476,220,131,9,2,1,0
"63","63",80,51,263,275,247,2046,340,11,66,900,80,322,900,86,73,1056,327,210,117,247,267,"NGA_Edo2","Natural","Rainforest","Congolian","Nigeria",6.34,5.345,80,63,12,2,1,0
"64","64",469,240,243,263,226,1309,243,9,69,553,45,207,553,101,69,1395,322,176,146,226,245,"NGA_Edo3","Agricultural","Forest-savanna","Sudanian","Nigeria",7.41,6.244,500,45,11,2,1,0
"65","65",1430,550,208,221,198,1712,293,4,76,848,24,237,848,118,69,890,298,129,169,198,211,"NGA_Gotel","Natural","Montane","Sudanian","Nigeria",7,11.7,1600,11,11,1,1,1
"66","66",134,31,260,271,249,2901,496,16,71,1399,102,273,1399,93,75,854,329,206,123,249,261,"SLE_Gola1","Natural","Rainforest","Congolian","Sierra_Leone",7.3707,-11.2617,110,58,20,1,1,0
"67","67",237,83,260,269,249,2557,412,15,63,1134,106,321,1134,110,72,778,339,188,151,249,259,"SLE_Gola2","Natural","Rainforest","Congolian","Sierra_Leone",7.8366,-10.6438,200,32,13,1,1,0
"68","68",192,155,258,268,247,2678,446,16,67,1248,105,295,1248,99,74,811,331,198,133,247,259,"SLE_Gola3","Natural","Rainforest","Congolian","Sierra_Leone",7.607,-11.0144,280,113,22,1,1,0
"69","69",321,72,258,275,247,2379,435,8,81,1217,37,352,1217,118,62,1208,355,166,189,247,253,"SLE_Seli","Natural","Savanna","Sudanian","Sierra_Leone",9.344,-11.593,300,364,39,1,2,0
"70","70",48,5,279,295,261,537,124,3,87,267,19,140,86,125,73,1309,373,204,169,280,294,"SOM_Jubba","Natural","Savanna","Somalian","Somalia",1.067,42.583,20,61,8,1,1,0
"71","71",308,95,221,256,176,753,139,10,72,373,33,373,33,125,57,3161,312,93,219,256,176,"SWZ_IYSIS","Natural","Savanna","Southern","Eswatini",-25.975,31.7192,280,146,16,2,2,0
"72","72",285,226,221,251,185,730,136,10,68,350,39,350,39,120,60,2575,309,111,198,251,185,"SWZ_Lubombo","Natural","Savanna","Southern","Eswatini",-26.1,32,200,646,20,2,2,0
"73","73",185,213,257,276,236,1147,188,44,47,470,151,246,162,103,68,1538,335,184,151,265,237,"TZA_Coastal1","Natural","Coastal Forest","Zambezian","Tanzania",-5.569,38.65,240,103,15,1,1,0
"74","74",189,63,248,266,229,999,215,21,67,486,75,295,75,93,68,1459,311,176,135,255,229,"TZA_Coastal2","Natural","Coastal Forest","Zambezian","Tanzania",-6.9,39,200,143,14,1,1,0
"75","75",1159,14,207,210,201,1326,248,23,59,600,92,510,92,115,85,348,270,136,134,208,201,"TZA_Minziro","Natural","Montane","Congolian","Tanzania",-1.0942,31.5154,1160,54,11,1,1,0
"76","76",1144,178,210,223,186,742,189,1,91,389,7,389,9,115,70,1543,291,128,163,223,191,"TZA_Tarangire","Natural","Savanna","Zambezian","Tanzania",-3.88,36.03,1100,19,7,2,3,0
"77","77",415,1111,244,262,217,1561,365,11,89,894,51,426,58,71,54,1758,304,173,131,253,223,"TZA_Udzungwa1","Natural","Montane","Zambezian","Tanzania",-7.8478,36.8838,350,9,8,2,1,1
"78","78",797,1235,223,241,198,1422,304,7,86,785,39,443,45,83,59,1676,289,149,140,233,203,"TZA_Udzungwa2","Natural","Montane","Zambezian","Tanzania",-7.708,36.909,1200,13,12,2,1,1
"79","79",1021,587,200,221,176,1868,365,64,61,879,257,301,297,88,61,1761,278,135,143,208,219,"TZA_Usambara1","Natural","Montane","Zambezian","Tanzania",-5.1058,38.5978,1000,72,16,1,3,0
"80","80",1129,678,194,215,171,1664,360,65,70,857,234,300,269,97,64,1776,276,125,151,202,171,"TZA_Usambara2","Natural","Montane","Zambezian","Tanzania",-5.067,38.4,1200,83,11,1,3,0
"81","81",593,700,165,218,109,363,67,8,66,178,30,30,176,151,56,4322,308,39,269,116,218,"ZAF_Algeria","Natural","Fynbos","Southern","South_Africa",-32.3667,19.05,480,31,10,2,1,0
"82","82",601,853,153,205,100,670,110,13,66,319,56,57,314,135,53,4192,289,35,254,107,204,"ZAF_DeHel","Natural","Fynbos","Southern","South_Africa",-33.0833,19.0833,570,18,7,2,1,0
"83","83",82,147,175,215,133,541,63,28,24,166,95,107,166,105,52,3245,274,74,200,158,205,"ZAF_DeHoop","Natural","Fynbos","Southern","South_Africa",-34.4333,20.4167,70,17,7,2,1,0
"84","84",138,272,204,234,171,970,133,27,44,361,100,361,100,88,53,2439,276,113,163,234,171,"ZAF_Durban","Natural","Savanna","Southern","South_Africa",-29.8333,30.9333,230,56,17,1,1,0
"85","85",375,277,214,275,141,72,15,2,51,34,9,14,15,173,53,5258,371,50,321,254,245,"ZAF_Goodhouse","Natural","Desert","Southern","South_Africa",-28.9333,18.1167,310,29,10,2,1,0
"86","86",497,247,158,188,126,964,97,63,11,272,206,243,227,98,58,2408,241,73,168,137,134,"ZAF_Knysna","Natural","Fynbos","Southern","South_Africa",-33.95,23.1667,420,20,7,2,1,0
"87","87",267,58,218,258,166,625,114,9,72,317,31,317,31,130,54,3628,317,79,238,258,166,"ZAF_Kruger1","Natural","Savanna","Zambezian","South_Africa",-24.966,31.704,250,167,16,1,1,0
"88","88",331,75,226,264,178,485,89,4,78,254,16,254,16,135,56,3373,328,90,238,264,178,"ZAF_Kruger2","Natural","Savanna","Zambezian","South_Africa",-23.723,31.156,330,253,16,1,1,0
"89","89",225,148,245,280,195,417,91,2,93,255,9,255,9,152,60,3434,350,99,251,280,195,"ZAF_Kruger3","Natural","Savanna","Zambezian","South_Africa",-22.437,31.227,230,149,16,1,1,0
"90","90",206,118,247,282,197,407,90,2,95,251,9,251,9,153,60,3432,352,99,253,282,197,"ZAF_Pafuri","Natural","Savanna","Zambezian","South_Africa",-22.4333,31.3167,210,133,27,1,1,0
"91","91",1444,550,166,199,117,867,180,8,82,473,34,473,34,126,57,3314,256,37,219,199,117,"ZAF_Soutpansberg","Natural","Montane","Southern","South_Africa",-23.0361,29.4529,1200,40,16,2,3,0
"92","92",1000,301,185,218,140,905,150,10,71,437,35,437,35,133,59,3144,276,53,223,218,140,"ZAF_Sudwala","Natural","Savanna","Southern","South_Africa",-25.3667,30.7,1200,95,19,2,1,0
"93","93",911,25,199,268,120,216,43,1,79,119,5,103,6,185,53,5778,356,8,348,261,141,"ZAR_Kalahari","Natural","Savanna","Southern","South_Africa",-26.47,20.61,880,3,3,1,1,1
"94","94",1011,54,230,257,191,899,206,0,108,587,0,133,4,147,56,2615,352,93,259,241,192,"ZMB_Mongu","Natural","Savanna","Zambezian","Zambia",-15.5,23.2,1000,20,20,1,1,1
"95","95",986,471,222,253,185,762,196,0,116,546,2,98,7,130,54,2653,338,99,239,232,185,"ZWE_Kanyati","Natural","Savanna","Zambezian","Zimbabwe",-16.944,28.627,1100,83,8,1,1,0
"96","96",447,51,242,278,196,698,185,0,122,522,0,246,0,135,53,3222,359,105,254,261,196,"ZWE_Mana","Natural","Savanna","Zambezian","Zimbabwe",-15.95,29.43,450,220,10,1,1,0
"97","97",856,88,224,255,180,653,171,0,113,458,1,228,8,141,55,2998,342,88,254,241,181,"ZWE_Sengwa","Natural","Savanna","Zambezian","Zimbabwe",-18.1667,28.2167,870,242,23,2,1,0
